year,All greenhouse gases,CH4 - (CO2 equivalent),CO2,Fluorinated gases - (CO2 equivalent),HFCs - (CO2 equivalent),N2O - (CO2 equivalent),NF3 - (CO2 equivalent),PFCs - (CO2 equivalent),SF6 - (CO2 equivalent)
1990,55750.79437,16534.25228,32944.379,35.5241871,0.496,6236.638903,,0.10869,34.9194971
1991,56716.88065,16781.54209,33864.61489,49.66199447,0.63984,6021.061671,,8.960529,40.06162547
1992,56704.48233,17002.76915,33677.46382,63.79961054,0.78368,5960.449743,,17.812368,45.20356254
1993,57152.92584,17055.64799,33886.96158,96.56100892,6.516652662,6113.755264,,35.516046,54.52831025
1994,58487.00609,16996.78455,35021.29664,135.260664,18.18806952,6333.664238,,53.219724,63.85287048
1995,59879.28885,17049.3204,36026.68414,205.4505884,31.18568387,6597.833724,4.094579457,88.62708,81.54324511
1996,61920.19106,17326.66233,37612.89838,299.6431919,73.75943242,6680.987154,4.417203488,121.01112,100.455436
1997,63239.93445,17316.58542,38942.96529,405.8735453,116.7333242,6574.510185,5.717996124,153.43278,129.989445
1998,65700.08364,17586.04689,40833.06268,310.8520087,143.5641215,6970.122053,3.92297093,71.859,91.5059163
1999,66885.14674,17067.26542,42560.57683,488.1608441,186.9314742,6769.14364,3.545432171,231.465477,66.21846071
2000,68998.65139,16423.87864,45357.54407,706.9894497,246.2128366,6510.239234,46.0299,361.34151,53.40520315
2001,70981.57948,16458.96662,47704.81325,725.271979,293.5466013,6092.527636,20.3826,344.67333,66.66944765
2002,69056.2597,16370.33438,46166.05314,724.275306,370.9423135,5795.596883,43.5988,243.18657,66.5476225
2003,69468.71546,17071.56149,45754.84591,915.6156444,499.1035921,5726.692415,43.6471,259.4312424,113.4337099
2004,68767.73368,15995.32295,46221.85136,941.0209953,643.4240083,5609.538376,16.9211,213.15852,67.51736703
2005,70151.46866,15402.44076,48124.95196,1123.733046,800.694069,5500.342894,26.565,196.47141,100.0025666
2006,69266.77397,15218.55854,47568.89751,1105.913151,843.9436147,5373.404781,26.404,173.43168,62.1338559
2007,68627.69864,14680.17831,47607.75932,1106.31512,853.4343872,5233.445894,35.259,152.7501,64.87163293
2008,67869.05464,14352.74186,47309.80923,1133.531019,920.7233074,5072.972517,32.783625,123.70938,56.31470703
2009,62107.55024,13939.99066,42129.5736,1101.975834,955.4671103,4936.01015,30.30825,75.93387,40.26660323
2010,61734.56402,13725.04922,41741.71045,1066.095451,962.0328618,5201.708902,27.832875,42.2922,33.93751436
2011,57767.55022,13878.00231,38006.6375,1070.800666,984.3549065,4812.109745,25.3575,14.4414,46.64685902
2012,58291.96136,14138.07078,38177.62586,1043.583609,973.3967108,4932.68111,23.61301389,8.69944,37.87444472
2013,57945.02511,14352.52962,37240.69802,1072.187266,999.1974728,5279.610203,21.25008333,7.574,44.16571033
2014,58011.24877,14922.29345,36808.19622,1134.386851,1074.532786,5146.372244,18.83093056,3.228581818,37.79455282
2015,60357.25262,15364.50063,38660.12014,1130.570457,1050.691775,5202.061391,16.35555556,18.46866364,45.0544626
2016,62674.8155,15814.05336,40311.87782,1204.103844,1115.086335,5344.780477,15.79205556,33.54651818,39.67893569
2017,61934.2344,16170.64273,38983.51792,1136.842819,1028.347152,5643.23093,26.53816667,42.37682364,39.5806769
2018,61596.71072,16028.05279,38853.44962,831.7841169,727.2687474,5883.424192,18.38338889,44.80739182,41.32458878
2019,59796.1055,16157.37809,37145.16755,808.2487928,706.7138785,5685.311065,11.16241111,56.64595364,33.72654958
2020,57640.90123,16314.56158,35002.7802,647.8805284,564.0372632,5675.67893,9.5442,57.72938,16.5696852
2021,60236.99198,16270.26939,37420.95657,691.3618183,598.4800179,5854.404205,8.820566667,59.25749917,24.80373455
2022,59010.44001,16270.51105,36622.57122,658.5751574,566.0128323,5458.782578,9.1173,54.0108325,29.43419259
2023,54992.30082,15878.46155,33488.24496,607.4061707,537.8151715,5018.188139,8.384066667,30.39821694,30.80871556
2024,53930.93688,15495.1258,32744.71114,608.34024,523.3687698,5082.759699,17.4436,44.93485667,22.59301359
